hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,2531555882547941800,p3,0,0,500,0,0,24,476,0,371,38,91,0,0,0,500,0
h00,2538182891345640416,p1,0,0,500,0,15,246,239,0,383,66,51,0,0,0,500,0
h00,2538182891345640416,p2,0,0,500,0,0,78,422,0,332,135,33,0,0,0,500,0
h00,2538182891345640416,p3,0,0,500,0,0,51,449,0,362,90,48,0,0,0,500,0
h00,2553817847603666864,p1,0,0,500,0,17,263,220,0,389,52,59,0,0,0,500,0
h00,2553817847603666864,p2,0,0,500,0,0,86,414,0,372,81,47,0,0,0,500,0
h00,2553817847603666864,p3,0,0,500,0,0,41,459,0,381,75,44,0,0,0,500,0
h00,2582636653590832573,p1,0,2,498,0,21,273,206,0,393,62,45,0,0,0,500,0
h00,2582636653590832573,p2,0,0,500,0,0,87,413,0,337,129,34,0,0,0,500,0
h00,2582636653590832573,p3,0,0,500,0,0,60,440,0,345,126,29,0,0,0,500,0
h00,2592630812011419061,p1,0,1,499,0,15,240,245,0,367,69,64,0,0,0,500,0
h00,2592630812011419061,p2,0,0,500,0,0,90,410,0,360,99,41,0,0,0,500,0
h00,2592630812011419061,p3,0,0,500,0,0,60,440,0,346,102,52,0,0,0,500,0
h00,2599256936468401537,p1,0,0,500,0,14,247,239,0,379,67,54,0,0,0,500,0
h00,2599256936468401537,p2,0,0,500,0,0,79,421,0,378,92,30,0,0,0,500,0
h00,2599256936468401537,p3,0,0,500,0,0,44,456,0,292,173,35,0,0,0,500,0
