hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,2500502901733353259,p3,0,0,500,0,0,1,499,0,379,9,112,0,0,0,500,0
h00,2505890466052842857,p1,0,0,500,0,10,40,450,0,373,16,111,0,0,0,500,0
h00,2505890466052842857,p2,0,0,500,0,0,0,500,0,314,60,126,0,0,0,500,0
h00,2505890466052842857,p3,0,0,500,0,0,0,500,0,350,64,86,0,0,0,500,0
h00,2531555882547941800,p1,0,0,500,0,19,55,426,0,385,10,105,0,0,0,500,0
h00,2531555882547941800,p2,0,0,500,0,0,0,500,0,359,7,134,0,0,0,500,0
h00,2531555882547941800,p3,0,0,500,0,0,0,500,0,371,19,110,0,0,0,500,0
h00,2538182891345640416,p1,0,0,500,0,15,50,435,0,383,11,106,0,0,0,500,0
h00,2538182891345640416,p2,0,0,500,0,0,0,500,0,332,27,141,0,0,0,500,0
h00,2538182891345640416,p3,0,0,500,0,0,0,500,0,362,29,109,0,0,0,500,0
h00,2553817847603666864,p1,0,0,500,0,17,57,426,0,389,11,100,0,0,0,500,0
h00,2553817847603666864,p2,0,0,500,0,0,1,499,0,372,8,120,0,0,0,500,0
h00,2553817847603666864,p3,0,0,500,0,0,0,500,0,381,6,113,0,0,0,500,0
h00,2582636653590832573,p1,0,0,500,0,21,34,445,0,393,6,101,0,0,0,500,0
h00,2582636653590832573,p2,0,0,500,0,0,0,500,0,337,12,151,0,0,0,500,0
h00,2582636653590832573,p3,0,0,500,0,0,0,500,0,345,32,123,0,0,0,500,0
h00,2592630812011419061,p1,0,0,500,0,15,52,433,0,367,12,121,0,0,0,500,0
h00,2592630812011419061,p2,0,0,500,0,0,2,498,0,360,72,68,0,0,0,500,0
h00,2592630812011419061,p3,0,0,500,0,0,0,500,0,346,31,123,0,0,0,500,0
h00,2599256936468401537,p1,0,0,500,0,14,62,424,0,379,28,93,0,0,0,500,0
h00,2599256936468401537,p2,0,0,500,0,0,2,498,0,378,59,63,0,0,0,500,0
h00,2599256936468401537,p3,0,0,500,0,0,0,500,0,292,115,93,0,0,0,500,0
